,Title,Year,First Author,Author Count,Citation Count,Citation Five Years,Bibcode
359,A Theoretical Study of the A<SUP>2</SUP>Σ<SUP>+</SUP>-X<SUP>2</SUP>Π System of the SIP Molecule,2000,"Ornellas, F. R.",3,30,6,2000ApJ...538..675O
360,The Relative Age of the Thin and Thick Galactic Disks,2000,"Liu, Wilson M.",2,62,30,2000ApJ...544..818L
361,"Optical Spectrum of Main-, Inter-, and Off-Pulse Emission from the Crab Pulsar",2000,"Carramiñana, Alberto",3,15,8,2000ApJ...542..974C
362,"Radio Continuum Emission from the Central Stars of M20, and the Detection of a New Supernova Remnant near M20",2000,"Yusef-Zadeh, F.",4,24,11,2000ApJ...540..842Y
363,X-Ray Total Mass Estimate for the Nearby Relaxed Cluster A3571,2000,"Nevalainen, J.",3,33,26,2000ApJ...536...73N
364,Mass-to-Light Ratios of Groups and Clusters of Galaxies,2000,"Hradecky, V.",6,37,28,2000ApJ...543..521H
365,On Cooling Flows and the Sunyaev-Zeldovich Effect,2000,"Majumdar, Subhabrata",2,15,11,2000ApJ...542..597M
366,On the Persistence of Small Regions of Vorticity in the Protoplanetary Nebula,2000,"Davis, S. S.",3,11,4,2000ApJ...545..494D
367,A Model of Solar Flares and Their Homologous Behavior,2000,"Choe, G. S.",2,39,17,2000ApJ...541..449C
368,Deuterium Enrichment of Polycyclic Aromatic Hydrocarbons by Photochemically Induced Exchange with Deuterium-rich Cosmic Ices,2000,"Sandford, Scott A.",5,47,18,2000ApJ...538..691S
369,APM 08279+5255: Keck Near- and Mid-Infrared High-Resolution Imaging,2000,"Egami, E.",8,65,22,2000ApJ...535..561E
370,On the Bolometric Quiescent Luminosity and Luminosity Swing of Black Hole Candidate and Neutron Star Low-Mass X-Ray Transients,2000,"Campana, Sergio",2,83,44,2000ApJ...541..849C
371,X-Ray Emission from Colliding Wind Shocks in the Wolf-Rayet Binary WR 140,2000,"Zhekov, Svetozar A.",2,90,27,2000ApJ...538..808Z
372,Simultaneous SOHO andYohkoh Observations of a Small Solar Active Region,2000,"Griffiths, N. W.",5,8,3,2000ApJ...537..481G
373,Another Faint Ultraviolet Object Associated with a Globular Cluster X-Ray Source: The Case of M92,2000,"Ferraro, Francesco R.",5,12,5,2000ApJ...537..312F
374,A Comparison of Central Temperatures of the Intracluster Gas Determined from X-Ray and Sunyaev-Zeldovich Measurements,2000,"Zhang, Tong-Jie",2,13,8,2000ApJ...545..141Z
375,An Empirical Test and Calibration of H II Region Diagnostics,2000,"Kennicutt, Robert C., Jr.",4,80,37,2000ApJ...537..589K
376,A New Algorithm for Supernova Neutrino Transport and Some Applications,2000,"Burrows, Adam",5,123,72,2000ApJ...539..865B
377,Transition from Standard Disk to Advection-dominated Accretion Flow,2000,"Manmoto, Tadahiro",2,47,13,2000ApJ...538..295M
378,Temporal Variations of the Rotation Rate in the Solar Interior,2000,"Antia, H. M.",2,123,61,2000ApJ...541..442A
379,Attenuation of Beaming Oscillations near Neutron Stars,2000,"Miller, M. Coleman",1,7,5,2000ApJ...537..342M
380,Weak-Lensing Surveys and the Intrinsic Correlation of Galaxy Ellipticities,2000,"Croft, Rupert A. C.",2,250,71,2000ApJ...545..561C
381,Global Nonradial Instabilities of Dynamically Collapsing Gas Spheres,2000,"Lai, Dong",1,34,13,2000ApJ...540..946L
382,On the Helium Content of Galactic Globular Clusters via the R-Parameter,2000,"Zoccali, M.",6,69,42,2000ApJ...538..289Z
383,Angular Momentum Transfer in Dynamically Collapsing Gaseous Disks,2000,"Nomura, Hideko",2,7,5,2000ApJ...536..429N
384,Extended X-Ray Emission from the Planetary Nebula BD +30°3639,2000,"Leahy, D. A.",3,15,9,2000ApJ...540..442L
385,Erratum: Wide-Field J- and K-Band Galaxy Counts in the European Large-Area Infrared Space Observatory Survey Fields,2000,"Väisänen, P.",4,2,2,2000ApJ...543..502V
386,Helium and Hydrogen Induced Rotational Relaxation of H<SUB>2</SUB>CO Observed at Temperatures of the Interstellar Medium,2000,"Mengel, Markus",2,14,2,2000ApJ...543..271M
387,Ultraviolet Spectroscopy of Polar Coronal Jets,2000,"Dobrzycka, D.",3,18,8,2000ApJ...538..922D
388,Ultraviolet Emission Lines in BA and Non-BA Giants,2000,"Böhm-Vitense, Erika",3,1,0,2000ApJ...545..992B
389,"Radio, X-Ray, and Extreme-Ultraviolet Coronal Variability of the Short-Period RS Canum Venaticorum Binary σ<SUP>2</SUP> Coronae Borealis",2000,"Osten, Rachel A.",7,48,26,2000ApJ...544..953O
390,Synchrotron Emission from Hot Accretion Flows and the Cosmic Microwave Background Anisotropy,2000,"Perna, Rosalba",2,10,7,2000ApJ...542...68P
391,"Nonthermal Flare Emission from MEV-Energy Electrons at 17, 34, and 86 GHZ",2000,"Kundu, M. R.",4,7,3,2000ApJ...545.1084K
392,A Search for Rotational Modulation of X-Ray Centers on the Classical BE Star γ Cassiopeiae,2000,"Robinson, Richard D.",2,44,13,2000ApJ...540..474R
393,An Inventory of Interstellar Ices toward the Embedded Protostar W33A,2000,"Gibb, E. L.",11,365,123,2000ApJ...536..347G
394,Boomerang Returns Unexpectedly,2000,"White, Martin",3,68,64,2000ApJ...545....1W
395,Using Perturbative Least Action to Recover Cosmological Initial Conditions,2000,"Goldberg, David M.",2,16,6,2000ApJ...544...21G
396,Hydrodynamic Drag on a Compact Star Orbiting a Supermassive Black Hole,2000,"Narayan, Ramesh",1,72,20,2000ApJ...536..663N
397,Magnetorotational Instability in Protoplanetary Disks. II. Ionization State and Unstable Regions,2000,"Sano, Takayoshi",4,347,35,2000ApJ...543..486S
398,Early Starbursts and Magnetic Field Generation in Galaxy Clusters,2000,"Völk, H. J.",2,45,13,2000ApJ...541...88V
399,Protoplanetary Formation. I. Neptune,2000,"Bryden, Geoffrey",3,51,30,2000ApJ...544..481B
400,Orbital Period of the Low-Inclination SW Sextantis Star V442 Ophiuchi,2000,"Hoard, D. W.",3,25,13,2000ApJ...537..936H
401,Second-Order Effects of Smoothed Velocity Fields in N-Body Simulations,2000,"Seto, Naoki",1,1,1,2000ApJ...537..525S
402,The Structure and Emission of the Accretion Shock in T Tauri Stars. II. The Ultraviolet-Continuum Emission,2000,"Gullbring, Erik",4,187,53,2000ApJ...544..927G
403,On Stellar Coronae and Solar Active Regions,2000,"Drake, Jeremy J.",5,87,46,2000ApJ...545.1074D
404,WFPC2 Images of a Face-on Disk Surrounding TW Hydrae,2000,"Krist, John E.",5,122,58,2000ApJ...538..793K
405,On the Perturbations of Viscous Rotating Newtonian Fluids,2000,"Ortega-Rodríguez, Manuel",2,20,8,2000ApJ...537..922O
406,Extreme-Ultraviolet Emission from Abell 4059,2000,"Berghöfer, Thomas W.",3,25,21,2000ApJ...545..695B
407,"Discovery of X-Ray Emission from G328.4+0.2, a Crab-like Supernova Remnant",2000,"Hughes, John P.",3,6,3,2000ApJ...542..386H
408,A New Look at the Eckart-Scuflaire-Osaki Classification Scheme of Stellar Oscillations,2000,"Lopes, Ilídio",1,12,4,2000ApJ...542.1071L
409,The Structure of the Virgo Cluster from Surface Brightness Fluctuations in Hubble Space Telescope Images,2000,"Neilsen, Eric H., Jr.",2,51,29,2000ApJ...536..255N
410,"Age, Evolution, and Dispersion of the Loose Groups of Blue Stars in the Northeast Radio Lobe of Centaurus A",2000,"Fassett, Caleb I.",2,21,11,2000ApJ...538..594F
411,The Profile of a Narrow Line after Single Scattering by Maxwellian Electrons: Relativistic Corrections to the Kernel of the Integral Kinetic Equation,2000,"Sazonov, Sergei Y.",2,50,8,2000ApJ...543...28S
412,Observations of the Crab Nebula and Its Pulsar in the Far-Ultraviolet and in the Optical,2000,"Sollerman, Jesper",8,94,32,2000ApJ...537..861S
413,The Initial Mass Function of Low-Mass Stars and Brown Dwarfs in Taurus,2000,"Luhman, K. L.",1,141,75,2000ApJ...544.1044L
414,Double-peaked Broad Emission Lines in NGC 4450 and Other LINERS,2000,"Ho, Luis C.",8,119,47,2000ApJ...541..120H
415,Plasma Modes along the Open Field Lines of a Neutron Star,2000,"Mofiz, U. A.",2,16,1,2000ApJ...542..484M
416,Timescales of Radio Emission in Pulsar J0437-4715 at 327MHz,2000,"Vivekanand, M.",1,9,5,2000ApJ...543..979V
417,The X-Ray Spectral Evolution of η Carinae as Seen by ASCA,2000,"Corcoran, M. F.",5,25,17,2000ApJ...545..420C
418,Measuring the Galaxy Power Spectrum and Scale-Scale Correlations with Multiresolution-decomposed Covariance. I. Method,2000,"Fang, Li-Zhi",2,41,24,2000ApJ...539....5F
419,Limits on Hot Intracluster Gas Contributions to the Tenerife Temperature Anisotropy Map,2000,"Rubiño-Martín, J. A.",3,5,3,2000ApJ...538...53R
420,ROSAT Observations of the Vela Pulsar,2000,"Seward, F. D.",7,10,5,2000ApJ...536..948S
421,General Relativistic Cosmology with No Beginning of Time,2000,"Fakir, Redouane",1,2,2,2000ApJ...537..533F
422,Thermal Infrared Imaging and Spectroscopy of Comet Hale-Bopp (C/1995 O1),2000,"Hayward, T. L.",3,66,30,2000ApJ...538..428H
423,Tidal Disruption of a Solar-Type Star by a Supermassive Black Hole,2000,"Ayal, Shai",3,146,26,2000ApJ...545..772A
424,"Ultracompact H II Regions in W49N at 500 AU Scales: Shells, Winds, and the Water Maser Source",2000,"De Pree, C. G.",5,61,20,2000ApJ...540..308D
425,Electronic Spectrum of Propadienylidene (H<SUP> 2</SUP>CCC:) and its Relevance to the Diffuse Interstellar Bands,2000,"Hodges, Jonathan A.",4,21,4,2000ApJ...544..838H
426,The Propagation of Magnetocentrifugally Launched Jets. I.,2000,"Frank, A.",5,32,21,2000ApJ...540..342F
427,Density Profiles and Substructure of Dark Matter Halos: Converging Results at Ultra-High Numerical Resolution,2000,"Ghigna, S.",6,573,285,2000ApJ...544..616G
428,An Optical Region Elemental Abundance Analysis of the HGMN Type Star HR 7775,2000,"Wahlgren, Glenn M.",6,27,14,2000ApJ...539..908W
429,Convective Instability in Proto-Neutron Stars,2000,"Miralles, Juan A.",3,41,16,2000ApJ...543.1001M
430,Distance Limits on the Bright X-Ray Emission Toward the Galactic Center: Evidence for a Very Hot Interstellar Medium in the Galactic X-Ray Bulge,2000,"Almy, R. C.",5,40,5,2000ApJ...545..290A
431,The Radio Nebula around HR Carinae,2000,"White, S. M.",1,16,4,2000ApJ...539..851W
432,High-Ionization Clouds in the Circumnuclear Region of M31,2000,"del Burgo, C.",3,16,5,2000ApJ...540..741D
433,The Dependence of the Galaxy Luminosity Function on Environment,2000,"Christlein, Daniel",1,39,23,2000ApJ...545..145C
434,Interferometric Observation of the L483 Molecular Core,2000,"Park, Y. -S.",5,23,5,2000ApJ...542..344P
435,Forming Clusters of Galaxies as the Origin of Unidentified GEV Gamma-Ray Sources,2000,"Totani, Tomonori",2,90,43,2000ApJ...545..572T
436,Unavoidable Selection Effects in the Analysis of Faint Galaxies in the Hubble Deep Field: Probing the Cosmology and Merger History of Galaxies,2000,"Totani, Tomonori",2,41,30,2000ApJ...540...81T
437,Reionization Constraints on the Contribution of Primordial Compact Objects to Dark Matter,2000,"Miller, M. Coleman",1,10,3,2000ApJ...544...43M
438,CO Outflows from Young Stars: Confronting the Jet and Wind Models,2000,"Lee, Chin-Fei",5,196,44,2000ApJ...542..925L
439,Silicon Monoxide and Methanol Emission from the NGC 2071 Molecular Outflow,2000,"Garay, Guido",3,16,5,2000ApJ...545..861G
440,A Natural Formalism for Microlensing,2000,"Gould, Andrew",1,236,22,2000ApJ...542..785G
441,Probing the Interstellar Medium in Early-Type Galaxies withInfrared Space Observatory Observations,2000,"Malhotra, S.",12,26,16,2000ApJ...543..634M
442,OH Zeeman Magnetic Field Detections toward Five Supernova Remnants Using the VLA,2000,"Brogan, C. L.",4,98,37,2000ApJ...537..875B
443,Ionized Gas in Damped Lyα Protogalaxies. I. Model-independent Inferences from Kinematic Data,2000,"Wolfe, Arthur M.",2,80,30,2000ApJ...545..591W
444,What Fraction of Gravitational Lens Galaxies Lie in Groups?,2000,"Keeton, Charles R.",3,49,25,2000ApJ...545..129K
445,The Gamma-Ray Pulsar Population,2000,"McLaughlin, M. A.",2,41,27,2000ApJ...538..818M
446,A Universal Profile of the Dark Matter Halo and the Two-Point Correlation Function,2000,"Yano, Taihei",2,12,9,2000ApJ...539..493Y
447,On the Cellular Structure of Carbon Detonations,2000,"Timmes, F. X.",11,28,3,2000ApJ...543..938T
448,Cosmic-Ray Evolution in Parker-unstable Galactic Magnetic Fields,2000,"Hanasz, M.",2,58,23,2000ApJ...543..235H
449,Analysis of Temporal Features of Gamma-Ray Bursts in the Internal Shock Model,2000,"Spada, M.",3,77,36,2000ApJ...537..824S
450,Dynamical Formation and Stability of Helical Prominence Magnetic Fields,2000,"DeVore, C. Richard",2,206,33,2000ApJ...539..954D
451,Constraints on the Stellar/Substellar Mass Function in the Inner Orion Nebula Cluster,2000,"Hillenbrand, Lynne A.",2,292,127,2000ApJ...540..236H
452,A Spin-Modulated Telescope to Make Two-Dimensional Cosmic Microwave Background Maps,2000,"Staren, J.",13,9,7,2000ApJ...539...52S
453,"SOHO/Energetic and Relativistic Nucleon and Electron Experiment Measurements of Energetic H, He, O, and Fe Fluxes during the 1997 November 6 Solar Event",2000,"Torsti, J.",4,7,4,2000ApJ...544.1169T
454,Correlative Aspects of the Solar Electron Neutrino Flux and Solar Activity,2000,"Wilson, Robert M.",1,11,2,2000ApJ...545..532W
455,Measuring the Remnant Mass Function of the Galactic Bulge,2000,"Gould, Andrew",1,146,25,2000ApJ...535..928G
456,Magnetohydrodynamic Models of Axisymmetric Protostellar Jets,2000,"Stone, James M.",2,56,22,2000ApJ...540..192S
457,On the Constancy of the Solar Diameter,2000,"Emilio, M.",4,67,36,2000ApJ...543.1007E
458,Ultraviolet Spectral Variability and the Lyα Forest in the Lensed Quasar Q0957+561,2000,"Dolan, J. F.",4,7,5,2000ApJ...539..111D
459,"Superluminal Caustics of Close, Rapidly Rotating Binary Microlenses",2000,"Zheng, Zheng",2,5,2,2000ApJ...541..728Z
460,Dynamical Characteristics of Small-Scale Hα Upflow Events on the Quiet Sun,2000,"Lee, Chik-Yin",3,23,11,2000ApJ...545.1124L
461,Limits on Arcminute-Scale Cosmic Microwave Background Anisotropy at 28.5 GHZ,2000,"Holzapfel, W. L.",6,22,18,2000ApJ...539...57H
462,Environment and Energy Injection Effects in Gamma-Ray Burst Afterglows,2000,"Dai, Z. G.",2,49,43,2000ApJ...537..803D
463,Advection-Dominated Accretion with Infall and Outflows,2000,"Beckert, Thomas",1,17,6,2000ApJ...539..223B
464,Dissociative Charge Transfer between Ground-State HE<SUP>+</SUP> and CO at Electron-Volt Energies,2000,"Kwong, Victor H. S.",3,8,4,2000ApJ...536..954K
465,Carbon and Hydrogen in Hot DB White Dwarfs,2000,"Provencal, J. L.",4,36,17,2000ApJ...542.1041P
466,Correlation of Microwave and Hard X-Ray Spectral Parameters,2000,"Silva, Adriana V. R.",3,79,12,2000ApJ...545.1116S
467,Surveys for z&gt;3 Damped Lyα Absorption Systems: The Evolution of Neutral Gas,2000,"Storrie-Lombardi, Lisa J.",2,258,139,2000ApJ...543..552S
468,Empirical Verification of the Fe II Oscillator Strengths in the FUSE Bandpass,2000,"Howk, J. Christopher",4,58,42,2000ApJ...544..867H
469,A Toy Model of Giant Molecular Clouds,2000,"Allen, Anthony",2,20,9,2000ApJ...536..368A
470,Seeing Galaxies through Thick and Thin. I. Optical Opacity Measures in Overlapping Galaxies,2000,"White, Raymond E., III",3,70,21,2000ApJ...542..761W
471,Nonlinear Velocity-Density Coupling: Analysis by Second-Order Perturbation Theory,2000,"Seto, Naoki",1,5,5,2000ApJ...537...21S
472,Observational Upper Limits to Low-Degree Solar g-Modes,2000,"Appourchaux, T.",15,91,45,2000ApJ...538..401A
473,Molecular Abundances in the Atmosphere of the T Dwarf GL 229B,2000,"Saumon, D.",8,140,35,2000ApJ...541..374S
474,The η Chamaeleontis Cluster: Origin in the Sco-Cen OB Association,2000,"Mamajek, Eric E.",3,126,51,2000ApJ...544..356M
475,Where Are the Regularly Pulsating Massive Stars?,2000,"Dorfi, E. A.",2,32,11,2000ApJ...545..982D
476,Magnetic Topology in 1998 November 5 Two-Ribbon Flare as Inferred from Ground-based Observations and Linear Force-free Field Modeling,2000,"Yurchyshyn, V. B.",5,17,12,2000ApJ...540.1143Y
477,Light-Element Abundance Patterns in the Orion Association. I.Hubble Space Telescope Observations of Boron in G Dwarfs,2000,"Cunha, Katia",4,12,5,2000ApJ...543..850C
478,"Beaming, Baryon Loading, and the Synchrotron Self-Compton Component in Gamma-Ray Bursts",2000,"Dermer, Charles D.",3,164,45,2000ApJ...537..785D
479,The Mg II and Lyα Lines of Nearby K Dwarfs: Interstellar Medium Components and Flux Measurements,2000,"Wood, Brian E.",4,22,12,2000ApJ...542..411W
480,The Power Spectral Properties of the Z Source GX 340+0,2000,"Jonker, Peter G.",9,84,27,2000ApJ...537..374J
481,A 2.5-dimensional Ideal Magnetohydrodynamic Model for Coronal Magnetic Flux Ropes,2000,"Hu, Y. Q.",2,27,14,2000ApJ...540.1119H
482,Faraday Rotation and Models for the Plasma Structure of the Solar Corona,2000,"Mancuso, Salvatore",2,59,12,2000ApJ...539..480M
483,The Hubble Space Telescope Revisits the Proper Motion of Pulsar B0656+14,2000,"Mignani, R. P.",3,20,11,2000ApJ...543..318M
484,Hubble Space Telescope Observations of Oxygen-rich Supernova Remnants in the Magellanic Clouds. II. Elemental Abundances in N132D and 1E 0102.2-7219,2000,"Blair, William P.",9,127,28,2000ApJ...537..667B
485,The Disk of β Pictoris in the Light of Polarimetric Data,2000,"Krivova, Natalia A.",3,25,7,2000ApJ...539..424K
486,"Formation of Nitriles in the Interstellar Medium via Reactions of Cyano Radicals, CN(X<SUP>2</SUP>Σ<SUP>+</SUP>), with Unsaturated Hydrocarbons",2000,"Balucani, N.",7,84,13,2000ApJ...545..892B
487,Zeeman Effect on the Rotational Levels of CCS and SO in the <SUP>3</SUP>Σ<SUP>-</SUP> Ground State,2000,"Shinnaga, Hiroko",2,25,4,2000ApJ...544..330S
488,Jet-induced Emission-Line Nebulosity and Star Formation in the High-Redshift Radio Galaxy 4C 41.17,2000,"Bicknell, Geoffrey V.",6,172,53,2000ApJ...540..678B
489,Cool Companions to Hot White Dwarfs,2000,"Green, Paul J.",3,36,15,2000ApJ...540..992G
490,Composite Spectral Indices: A New Method for the Interpretation of Solar and Stellar Activity,2000,"Hall, Jeffrey C.",2,4,2,2000ApJ...541..436H
491,Flare-Related Changes of an Active Region Magnetic Field,2000,"Yurchyshyn, V. B.",3,23,12,2000ApJ...538..968Y
492,Relativistic Effects in Atomic and Ionic Photoionization: ``Anomalous'' Behavior at the Low End of Isoelectronic Sequences,2000,"Chakraborty, H. S.",4,6,2,2000ApJ...537.1094C
493,A Plasma Instability Theory of Gamma-Ray Burst Emission,2000,"Brainerd, J. J.",1,45,8,2000ApJ...538..628B
494,"Eclipsing Binaries as Astrophysical Laboratories: Internal Structure, Core Convection, and Evolution of the B-Star Components of V380 Cygni",2000,"Guinan, Edward F.",7,79,14,2000ApJ...544..409G
495,Transient Gamma-Ray Spectrometer Observations of Gamma-Ray Lines from Novae. II. Constraining the Galactic Nova Rate from a Survey of the Southern Sky during 1995-1997,2000,"Harris, M. J.",7,14,6,2000ApJ...542.1057H
496,Expectations for an Interferometric Sunyaev-Zeldovich Effect Survey for Galaxy Clusters,2000,"Holder, Gilbert P.",5,98,74,2000ApJ...544..629H
497,Jet Directions in Seyfert Galaxies,2000,"Kinney, A. L.",6,206,44,2000ApJ...537..152K
498,"An X-Ray, Optical, and Radio Search for Supernova Remnants in the Nearby Sculptor Group Sd Galaxy NGC 300",2000,"Pannuti, Thomas G.",7,56,20,2000ApJ...544..780P
499,Mining the Metal-rich Stars for Planets,2000,"Laughlin, Gregory",1,89,51,2000ApJ...545.1064L
500,Multiple Streaming and the Probability Distribution of Density in Redshift Space,2000,"Hui, Lam",3,25,17,2000ApJ...537...12H
501,Very High Energy Gamma-Ray Observations of PSR B1509-58 with the CANGAROO 3.8 Meter Telescope,2000,"Sako, T.",34,36,20,2000ApJ...537..422S
502,Testing the Multiple Supernovae versus Gamma-Ray Burst Scenarios for Giant H I Supershells,2000,"Perna, Rosalba",2,24,14,2000ApJ...539..706P
503,"Laboratory Detection of HC<SUB>6</SUB>N, a Carbon Chain with a Triplet Electronic Ground State",2000,"Gordon, V. D.",4,9,4,2000ApJ...540..286G
504,A Cluster of Black Holes at the Galactic Center,2000,"Miralda-Escudé, Jordi",2,205,37,2000ApJ...545..847M
505,Rapid Optical Variability in Active Galactic Nuclei and Quasars,2000,"Webb, Wayne",2,92,16,2000ApJ...540..652W
506,The Anisotropy of Magnetohydrodynamic Alfvénic Turbulence,2000,"Cho, Jungyeon",2,537,69,2000ApJ...539..273C
507,Detection of a Far-Infrared Excess with DIRBE at 60 and 100 Microns,2000,"Finkbeiner, Douglas P.",3,130,67,2000ApJ...544...81F
508,Spectral Lines for Polarization Measurements of the Coronal Magnetic Field. III. Atomic Data for Si IX,2000,"Brage, Tomas",4,9,3,2000ApJ...540.1114B
509,The Host Galaxy of the Lensed Quasar Q0957+561,2000,"Keeton, C. R.",9,68,38,2000ApJ...542...74K
510,Optical Spectroscopy of GRO J1655-40,2000,"Soria, Roberto",3,42,12,2000ApJ...539..445S
511,Hourly Variability in Q0957+561,2000,"Colley, Wesley N.",2,19,13,2000ApJ...540..104C
512,Self-consistent Response of a Galactic Disk to an Elliptical Perturbation Halo Potential,2000,"Jog, Chanda J.",1,23,3,2000ApJ...542..216J
513,Physical Mechanisms for the Variable Spin-down and Light Curve of SGR 1900+14,2000,"Thompson, Christopher",6,141,53,2000ApJ...543..340T
514,The Caltech Faint Galaxy Redshift Survey. XII. Clustering of Galaxies,2000,"Hogg, David W.",3,19,15,2000ApJ...545...32H
515,Gamma-Ray Bursts Have Millisecond Variability,2000,"Walker, Katharine C.",3,53,12,2000ApJ...537..264W
516,A Candidate Substellar Companion to HR 7329,2000,"Lowrance, Patrick J.",13,129,44,2000ApJ...541..390L
517,Thermal Instability and the Formation of Clumpy Gas Clouds,2000,"Burkert, A.",2,108,36,2000ApJ...537..270B
518,Distance-Redshift Relations in Inhomogeneous Friedmann-Lemaître-Robertson-Walker Cosmology,2000,"Kantowski, R.",3,28,11,2000ApJ...545..549K
519,Blobs in Wolf-Rayet Winds: Random Photometric and Polarimetric Variability,2000,"Rodrigues, Cláudia V.",2,23,6,2000ApJ...540..412R
520,Radio Wave Emissions Due to Gravitational Radiation,2000,"Marklund, Mattias",3,65,24,2000ApJ...536..875M
521,Comparison of Theory and Observations of the Chirality of Filaments within a Dispersing Activity Complex,2000,"Mackay, D. H.",3,52,17,2000ApJ...544.1122M
522,Escape of Ionizing Radiation from High-Redshift Galaxies,2000,"Wood, Kenneth",2,118,44,2000ApJ...545...86W
523,Vorticity Budget of Weak Thermal Convection in Keplerian Disks,2000,"Gu, Pin-Gao",1,1,1,2000ApJ...540..404G
524,Global Solar Corona Revealed by Time Series Observations,2000,"Li, Jing",5,12,6,2000ApJ...538..415L
525,The Physical Conditions of the X-Ray Emission Line Regions in the Circinus Galaxy,2000,"Sako, Masao",4,16,8,2000ApJ...542..684S
526,The IUE and Hubble Space Telescope GHRS Spectrum of the ``Hybrid''/PG 1159-Type Central Star of the Planetary Nebula NGC 7094,2000,"Feibelman, Walter A.",1,3,2,2000ApJ...542..957F
527,Membership and Multiplicity among Very Low Mass Stars and Brown Dwarfs in the Pleiades Cluster,2000,"Martín, E. L.",8,133,74,2000ApJ...543..299M
528,Light Curves of Gamma-Ray Burst Optical Flashes,2000,"Kobayashi, Shiho",1,269,57,2000ApJ...545..807K
529,A New Probe of the Molecular Gas in Galaxies: Application to M101,2000,"Smith, Denise A.",5,42,20,2000ApJ...538..608S
530,What Is the Nature of the Spectroscopic Companion of the Early B Star λ Scorpii?,2000,"Berghöfer, Thomas W.",3,17,9,2000ApJ...538..854B
531,Hard X-Rays from Neutralized Ion Beams in Solar Flares,2000,"Brown, J. C.",4,8,2,2000ApJ...541.1104B
532,An Emerging Flux Trigger Mechanism for Coronal Mass Ejections,2000,"Chen, P. F.",2,461,50,2000ApJ...545..524C
533,GRB 990510: On the Possibility of a Beamed X-Ray Afterglow,2000,"Kuulkers, E.",14,33,21,2000ApJ...538..638K
534,GRB 991216 Joins the Jet Set: Discovery and Monitoring of Its Optical Afterglow,2000,"Halpern, J. P.",11,101,79,2000ApJ...543..697H
535,Convection-dominated Accretion Flows,2000,"Quataert, Eliot",2,400,128,2000ApJ...539..809Q
536,The Dependence of Large Flare Occurrence on the Magnetic Structure of Sunspots,2000,"Sammis, Ian",3,239,26,2000ApJ...540..583S
537,Pressure Effects in Line Accretion,2000,"Horedt, G. P.",1,12,2,2000ApJ...541..821H
538,The Origin of the X-Ray and Ultraviolet Emission in NGC 7469,2000,"Nandra, K.",7,123,63,2000ApJ...544..734N
539,Pycnonuclear Reactions in Dense Matter near Solidification,2000,"Kitamura, Hikaru",1,33,11,2000ApJ...539..888K
540,Parallel Mean Free Path of Solar Cosmic Rays,2000,"Ragot, B. R.",1,10,7,2000ApJ...536..455R
541,Thermal Infrared Imaging of Ultracompact H II Regions in W49A,2000,"Smith, Nathan",9,13,6,2000ApJ...540..316S
542,The Generation of Magnetic Fields through Driven Turbulence,2000,"Cho, Jungyeon",2,98,25,2000ApJ...538..217C
543,O VI and Multicomponent H I Absorption Associated with a Galaxy Group in the Direction of PG 0953+415: Physical Conditions and Baryonic Content,2000,"Tripp, Todd M.",2,110,56,2000ApJ...542...42T
544,"The Observed Probability Distribution Function, Power Spectrum, and Correlation Function of the Transmitted Flux in the Lyα Forest",2000,"McDonald, Patrick",7,333,119,2000ApJ...543....1M
545,A Study of the Physics and Chemistry of L134N,2000,"Dickens, J. E.",7,118,36,2000ApJ...542..870D
546,Wide-Field J- and K-Band Galaxy Counts in the European Large-AreaInfrared Space Observatory Survey Fields,2000,"Väisänen, P.",4,36,17,2000ApJ...540..593V
547,Self-Regulation of Star Formation in Low-Metallicity Clouds,2000,"Nishi, Ryoichi",2,28,23,2000ApJ...537...50N
548,A C<SUP>17</SUP>O Survey toward Ultracompact H II Regions,2000,"Hofner, P.",4,55,18,2000ApJ...536..393H
549,Unveiling Deeply Embedded Sources by Near-Infrared Polarimetric Imaging,2000,"Yao, Yongqiang",5,28,14,2000ApJ...542..392Y
550,A Multitransition HCO<SUP>+</SUP> Study in NGC 2264G: Anomalous Emission of the J=1--&gt;0 Line,2000,"Girart, José M.",4,26,12,2000ApJ...539..763G
551,Influence of Cooled Interstellar Gas on the Fundamental Plane of Elliptical Galaxies,2000,"Mathews, William G.",2,5,4,2000ApJ...545..181M
552,Robustly Unstable Eigenmodes of the Magnetoshearing Instability in Accretion Disks,2000,"Noguchi, K.",3,3,2,2000ApJ...541..802N
553,Shellflow. I. The Convergence of the Velocity Field at 6000 Kilometers Per Second,2000,"Courteau, Stéphane",5,67,27,2000ApJ...544..636C
554,On the Relation between Peak Luminosity and Parent Population of Type IA Supernovae: A New Tool for Probing the Ages of Distant Galaxies,2000,"Ivanov, Valentin D.",3,62,26,2000ApJ...542..588I
555,Differential O and Si Abundances in M33 Early B Supergiants,2000,"Monteverde, M. I.",3,34,21,2000ApJ...545..813M
556,Efficient Computation of Cosmic Microwave Background Anisotropies in Closed Friedmann-Robertson-Walker Models,2000,"Lewis, Antony",3,2000,70,2000ApJ...538..473L
557,Primordial Lithium Abundance as a Stringent Constraint on the Baryonic Content of the Universe,2000,"Suzuki, Takeru Ken",3,30,28,2000ApJ...540...99S
558,Search for an Infrared Counterpart to SGR 1900+14,2000,"Eikenberry, Stephen S.",2,4,4,2000ApJ...537..429E
