Title,Year,First Author,Author Count,Citation Count,Citation Five Years,Bibcode
Chandra Observations of Two High-Redshift Quasars,2001,"Fang, Taotao",4,25,15,2001ApJ...555..356F
Detection of Bulk Motions in the Intracluster Medium of the Centaurus Cluster,2001,"Dupke, Renato A.",2,38,15,2001ApJ...562..266D
Keck LWS Images of the Compact Nebula around RY Scuti in the Thermal Infrared,2001,"Gehrz, Robert D.",5,34,13,2001ApJ...559..395G
On the Correlation between Coronal and Lower Transition Region Structures at Arcsecond Scales,2001,"Vourlidas, A.",5,39,11,2001ApJ...563..374V
"Mid-Infrared Spectral Energy Distribution of NGC 1068 with 0.1"" Spatial Resolution",2001,"Tomono, Daigo",4,44,15,2001ApJ...557..637T
Far Ultraviolet Spectroscopic Explorer Observations of Interstellar Gas toward the Small Magellanic Cloud Star Sk 108,2001,"Mallouris, C.",13,24,15,2001ApJ...558..133M
Terminal Speeds and Ion Fractions from [Ca IV] 3.207 μm in Three Single WN Stars,2001,"Ignace, R.",4,13,3,2001ApJ...558..771I
The Pure Rotational Spectrum of KH (X<SUP>1</SUP>Σ+): Quadrupole Coupling in Alkali Hydrides,2001,"Brewster, M. A.",2,4,1,2001ApJ...559.1190B
A Chandra Observation of the Circinus Galaxy,2001,"Smith, David A.",2,57,19,2001ApJ...557..180S
Evolution of the Power Spectrum in Non-Gaussian Models,2001,"Seto, Naoki",1,6,1,2001ApJ...553..488S
Weak Reprocessed Features in the Broad-Line Radio Galaxy 3C 382,2001,"Grandi, Paola",4,24,11,2001ApJ...556...35G
Pulsar Wind Nebulae in Evolved Supernova Remnants,2001,"Blondin, John M.",3,291,39,2001ApJ...563..806B
Reconnection of Twisted Flux Tubes as a Function of Contact Angle,2001,"Linton, M. G.",3,148,29,2001ApJ...553..905L
Observed and Predicted Ratios of the Horizontal and Vertical Components of the Solar p-Mode Velocity Eigenfunctions,2001,"Rhodes, Edward J., Jr.",5,20,11,2001ApJ...561.1127R
Magnetic Energy of the Intergalactic Medium from Galactic Black Holes,2001,"Kronberg, P. P.",4,133,52,2001ApJ...560..178K
On Optical Synchrotron Emission of Radio Pulsars,2001,"Malov, Igor F.",2,29,12,2001ApJ...554..587M
Hubble Space Telescope Ultraviolet and Ground-based Optical Spectropolarimetry of IRAS Quasi-stellar Objects: Dusty Scattering in Luminous Active Galactic Nuclei,2001,"Hines, Dean C.",7,28,12,2001ApJ...563..512H
"Models for Old, Metal-poor Stars with Enhanced α-Element Abundances. III. Isochrones and Isochrone Population Functions",2001,"Bergbusch, Peter A.",2,120,80,2001ApJ...556..322B
A Wind-driven Warping Instability in Accretion Disks,2001,"Quillen, A. C.",1,22,13,2001ApJ...563..313Q
Chandra X-Ray Observations of the X-Ray Faint Elliptical Galaxy NGC 4697,2001,"Sarazin, Craig L.",3,173,105,2001ApJ...556..533S
The Transient X-Ray Pulsar 4U 0115+63 from Quiescence to Outburst through the Centrifugal Transition,2001,"Campana, S.",8,67,23,2001ApJ...561..924C
The X-Ray Background from Groups and Clusters of Galaxies,2001,"Wu, Xiang-Ping",2,21,13,2001ApJ...560..544W
ROSAT Observations of 3C 388: A Test of Minimum Energy,2001,"Leahy, J. P.",2,24,14,2001ApJ...555..709L
Temperature and Heavy-Element Abundance Profiles of Cool Clusters of Galaxies from ASCA,2001,"Finoguenov, A.",3,114,70,2001ApJ...555..191F
The Probability Distribution Function of Column Density in Molecular Clouds,2001,"Vázquez-Semadeni, Enrique",2,102,14,2001ApJ...557..727V
The Local Power Spectrum and Correlation Hierarchy of the Cosmic Mass Field,2001,"Zhan, Hu",3,13,13,2001ApJ...555...58Z
Optical and Infrared Photometry of the Microquasar GRO J1655-40 in Quiescence,2001,"Greene, Jenny",3,200,42,2001ApJ...554.1290G
Brownian Motion of a Massive Binary,2001,"Merritt, David",1,60,23,2001ApJ...556..245M
Pollution of Stellar Atmospheres by Interstellar Dust Material: A Possible Solution to the G Dwarf Problem,2001,"Ragot, B. R.",1,6,5,2001ApJ...558..730R
"Observations of the Ionized, Neutral, and Molecular Components Associated with an Expanding H II Region",2001,"Lebrón, Mayra E.",3,19,8,2001ApJ...560..806L
Magnetically Accreting Isolated Old Neutron Stars,2001,"Rutledge, Robert E.",1,15,12,2001ApJ...553..796R
The Type IC SN 1990B in NGC 4568,2001,"Clocchiatti, Alejandro",28,37,18,2001ApJ...553..886C
Discovery of Two New Pulsating DA (ZZ Ceti) White Dwarfs,2001,"Fontaine, G.",5,22,6,2001ApJ...557..792F
Constraints on the Long-Range Properties of Gravity from Weak Gravitational Lensing,2001,"White, Martin",2,51,12,2001ApJ...560..539W
The Radio Spectral Index and Expansion of 3C 58,2001,"Bietenholz, M. F.",3,44,20,2001ApJ...560..772B
X-Ray Destruction of Dust along the Line of Sight to γ-Ray Bursts,2001,"Fruchter, Andrew",3,153,73,2001ApJ...563..597F
An Assessment of the Rotation Rates of the Host Stars of Extrasolar Planets,2001,"Barnes, Sydney A.",1,59,14,2001ApJ...561.1095B
Recycled Pulsars Discovered at High Radio Frequency,2001,"Edwards, R. T.",2,61,19,2001ApJ...553..801E
Electron-Ion Recombination on Grains and Polycyclic Aromatic Hydrocarbons,2001,"Weingartner, Joseph C.",2,142,24,2001ApJ...563..842W
Magnetic Flux Emergence into the Solar Corona. I. Its Role for the Reversal of Global Coronal Magnetic Fields,2001,"Zhang, M.",2,46,25,2001ApJ...561..406Z
X-Ray Emission from Middle-aged Pulsars,2001,"Perna, Rosalba",3,9,5,2001ApJ...553..809P
Hydrodynamic Simulation of the Cosmological X-Ray Background,2001,"Croft, Rupert A. C.",7,99,63,2001ApJ...557...67C
Structure of Dark Matter Halos from Hierarchical Clustering,2001,"Fukushige, Toshiyuki",2,206,120,2001ApJ...557..533F
Vela Pulsar and Its Synchrotron Nebula,2001,"Helfand, D. J.",3,289,129,2001ApJ...556..380H
"LB 8827: A Variable, Magnetic DBA White Dwarf",2001,"Wesemael, F.",6,21,4,2001ApJ...554.1118W
Lensing Properties of Scale-free Galaxies,2001,"Hunter, C.",2,24,9,2001ApJ...554.1227H
Magnetic Field Diagnostics Based on Far-Infrared Polarimetry: Tests Using Numerical Simulations,2001,"Heitsch, Fabian",5,165,41,2001ApJ...561..800H
The Kinematics of 3:1 Merger Remnants and the Formation of Low-Luminosity Elliptical Galaxies,2001,"Cretton, N.",4,41,20,2001ApJ...554..291C
Anticorrelated Coupling p-Modes,2001,"Roth, M.",1,4,3,2001ApJ...559.1165R
On the Formation of Giant Holes in the Interstellar Medium by Disk Instabilities,2001,"Sánchez-Salcedo, F. J.",1,14,10,2001ApJ...563..867S
Searching for Ammonia in Grain Mantles toward Massive Young Stellar Objects,2001,"Gibb, E. L.",3,48,26,2001ApJ...558..702G
Model-independent Insights into the Nature of the Lyα Forest and the Distribution of Matter in the Universe,2001,"Schaye, Joop",1,327,73,2001ApJ...559..507S
Intensity Ratios between the 2s<SUP>2</SUP> <SUP>1</SUP>S<SUB>0</SUB>-2s2p <SUP>3</SUP>P<SUB>1</SUB> and 2s<SUP>2</SUP>p <SUP>1</SUP>P<SUB>1</SUB>-2p<SUP>2</SUP> <SUP>1</SUP>D<SUB>2</SUB> Transitions in Be-like Ions as Electron Temperature Indicators for Solar Upper Atmosphere Plasmas,2001,"Landi, E.",4,25,8,2001ApJ...556..912L
The Discovery of Cepheids and a New Distance to NGC 2841 Using the Hubble Space Telescope,2001,"Macri, L. M.",8,67,32,2001ApJ...559..243M
Probing for Dark Matter within Spiral Galaxy Disks,2001,"Kranz, Thilo",3,34,17,2001ApJ...562..164K
Measuring the Magnetic Field Strength in L1498 with Zeeman-splitting Observations of CCS,2001,"Levin, S. M.",5,29,14,2001ApJ...555..850L
Submillimeter Imaging Polarimetry of the NGC 7538 Region,2001,"Momose, M.",7,38,24,2001ApJ...555..855M
Structural Properties of Massive Young Clusters,2001,"Maíz-Apellániz, Jesús",1,82,25,2001ApJ...563..151M
Three-dimensional Spectral Classification of Low-Metallicity Stars Using Artificial Neural Networks,2001,"Snider, Shawn",7,57,20,2001ApJ...562..528S
A Solvable Model for Nonlinear Mean Field Dynamo,2001,"Boldyrev, Stanislav",1,19,7,2001ApJ...562.1081B
The K-Band Galaxy Luminosity Function,2001,"Kochanek, C. S.",9,439,176,2001ApJ...560..566K
Numerical Analyses of Weakly Nonlinear Velocity-Density Coupling,2001,"Seto, Naoki",2,1,1,2001ApJ...558..505S
The Formation of Cosmic Structure with Modified Newtonian Dynamics,2001,"Sanders, R. H.",1,67,34,2001ApJ...560....1S
Automated Star-Galaxy Discrimination for Large Surveys,2001,"Cortiglioni, Filippo",4,12,5,2001ApJ...556..937C
Interaction of Small Planar Perturbations with Cooling-conductive Fronts,2001,"Shchekinov, Yuri A.",2,3,2,2001ApJ...563..209S
A Very Radio Loud Narrow-Line Seyfert 1: PKS 2004-447,2001,"Oshlack, A. Y. K. N.",3,80,14,2001ApJ...558..578O
Local Buoyant Instability of Magnetized Shear Flows,2001,"Howes, Gregory G.",3,5,0,2001ApJ...560..617H
Atmospheric Reflection during an Anomalous Low State of Hercules X-1,2001,"Still, Martin",9,17,7,2001ApJ...554..352S
Theory of Extrasolar Giant Planet Transits,2001,"Hubbard, W. B.",6,189,37,2001ApJ...560..413H
Yellow Hypergiants as Dynamically Unstable Post-Red Supergiant Stars,2001,"Stothers, Richard B.",2,26,7,2001ApJ...560..934S
Lower Limits on Lorentz Factors in Gamma-Ray Bursts,2001,"Lithwick, Yoram",2,401,78,2001ApJ...555..540L
Evolution of Solar Filament Channels Observed during a Major Poleward Surge of Photospheric Magnetic Flux,2001,"Gaizauskas, V.",3,49,11,2001ApJ...558..888G
Self-similar Hot Accretion Flow onto a Neutron Star,2001,"Medvedev, Mikhail V.",2,38,18,2001ApJ...554.1255M
The Angular Power Spectrum of Edinburgh/Durham Southern Galaxy Catalogue Galaxies,2001,"Huterer, Dragan",3,48,11,2001ApJ...555..547H
Formation of the Galactic Stellar Halo. I. Structure and Kinematics,2001,"Bekki, Kenji",2,98,44,2001ApJ...558..666B
The First Detection of Coherent Emission from Radio Pulsars,2001,"Jenet, F. A.",3,17,5,2001ApJ...558..302J
The Ultraluminous M81 X-9 Source: 20 Years' Variability and Spectral States,2001,"La Parola, V.",5,80,46,2001ApJ...556...47L
The Obscuring Starburst of NGC 6221 and Implications for the Hard X-Ray Background,2001,"Levenson, N. A.",5,25,15,2001ApJ...557...54L
EIT Crinkles as Evidence for the Breakout Model of Solar Eruptions,2001,"Sterling, Alphonse C.",2,59,26,2001ApJ...560.1045S
Star Formation in M51 Triggered by Galaxy Interaction,2001,"Nikola, T.",7,24,6,2001ApJ...561..203N
Jet- and Wind-driven Ionized Outflows in the Superbubble and Star-forming Disk of NGC 3079,2001,"Cecil, Gerald",4,170,52,2001ApJ...555..338C
Evidence for an Accelerating Wind as the Broad-Line Region in NGC 3516,2001,"Hutchings, J. B.",7,18,17,2001ApJ...559..173H
Shock Wave Emission at Miller's Position 1 in the Cygnus Loop,2001,"Raymond, J. C.",4,8,2,2001ApJ...560..763R
Is It Round? Spectropolarimetry of the Type II-p Supernova 1999EM,2001,"Leonard, Douglas C.",4,141,64,2001ApJ...553..861L
A Study of Chromospheric Oscillations Using the SOHO and TRACE Spacecraft,2001,"Judge, Philip G.",3,91,34,2001ApJ...554..424J
An Off-Line Scan of the BATSE Daily Records and a Large Uniform Sample of Gamma-Ray Bursts,2001,"Stern, Boris E.",5,61,27,2001ApJ...563...80S
Analysis of the Hipparcos Observations of the Extrasolar Planets and the Brown Dwarf Candidates,2001,"Zucker, Shay",2,51,24,2001ApJ...562..549Z
Positron Annihilation Radiation from the Inner Galaxy,2001,"Kinzer, R. L.",6,72,38,2001ApJ...559..282K
Atomic Carbon and CO Isotope Emission in the Vicinity of DR 15,2001,"Oka, Tomoharu",20,44,12,2001ApJ...558..176O
On the Neutrino Flux from Gamma-Ray Bursts,2001,"Guetta, D.",3,55,25,2001ApJ...559..101G
Hubble Space Telescope STIS Observations of GRB 000301C: CCD Imaging and Near-Ultraviolet MAMA Spectroscopy,2001,"Smette, Alain",27,21,19,2001ApJ...556...70S
Formation and Evolution of a 0.242 M<SUB>solar</SUB> Helium White Dwarf in the Presence of Element Diffusion,2001,"Althaus, L. G.",3,22,12,2001ApJ...554.1110A
The Physics of Proto-Neutron Star Winds: Implications for r-Process Nucleosynthesis,2001,"Thompson, Todd A.",3,285,70,2001ApJ...562..887T
A Relativistic-Plasma Compton Maser,2001,"Weatherall, James C.",1,11,4,2001ApJ...559..196W
Storage Ring Measurement of the C IV Recombination Rate Coefficient,2001,"Schippers, S.",6,102,37,2001ApJ...555.1027S
What Next for the Likely Presupernova HD 179821?,2001,"Jura, M.",3,22,12,2001ApJ...556..408J
The Expected Mass Function for Low-Mass Galaxies in a Cold Dark Matter Cosmology: Is There a Problem?,2001,"Chiu, Weihsueh A.",3,41,35,2001ApJ...563...21C
"Measurement of the Secondary Radionuclides <SUP>10</SUP>Be, <SUP>26</SUP>Al, <SUP>36</SUP>Cl, <SUP>54</SUP>Mn, and <SUP>14</SUP>C and Implications for the Galactic Cosmic-Ray Age",2001,"Yanasak, N. E.",13,173,32,2001ApJ...563..768Y
The Physics of the Solar Lower Transition Region,2001,"Doschek, G. A.",2,15,5,2001ApJ...560..420D
Flash Mixing on the White Dwarf Cooling Curve: Understanding Hot Horizontal Branch Anomalies in NGC 2808,2001,"Brown, Thomas M.",5,196,48,2001ApJ...562..368B
A Jet Model with a Hard Electron Distribution for the Afterglow of GRB 000301c,2001,"Panaitescu, A.",1,44,38,2001ApJ...556.1002P
BATSE Search for the ~540 keV Feature in the Crab Spectrum Observed by Granat-SIGMA,2001,"Wallyn, P.",5,3,2,2001ApJ...559..342W
A New Measurement of the Primordial Abundance of Deuterium: Toward Convergence with the Baryon Density from the Cosmic Microwave Background?,2001,"Pettini, Max",2,200,133,2001ApJ...560...41P
Spatially Resolved Thermal Continuum Absorption against Supernova Remnant W49B,2001,"Lacey, C. K.",6,48,11,2001ApJ...559..954L
Nova-induced Mass Transfer Variations,2001,"Kolb, U.",4,26,15,2001ApJ...563..958K
Energetics of Gamma-Ray Bursts,2001,"Jimenez, Raul",3,47,29,2001ApJ...561..171J
A Methyl Cyanide Search for the Earliest Stages of Massive Protostars,2001,"Pankonin, V.",4,43,17,2001ApJ...558..194P
Line Forces in Keplerian Circumstellar Disks and Precession of Nearly Circular Orbits,2001,"Gayley, K. G.",3,15,6,2001ApJ...558..802G
A Backwards Approach to the Formation of Disk Galaxies. I. Stellar and Gas Content,2001,"Ferreras, Ignacio",2,27,15,2001ApJ...557..165F
Characteristic X-Ray Variability of TeV Blazars: Probing the Link between the Jet and the Central Engine,2001,"Kataoka, Jun",11,121,32,2001ApJ...560..659K
Quintessence and the Separation of Cosmic Microwave Background Peaks,2001,"Doran, Michael",4,125,65,2001ApJ...559..501D
Strange Cepheids and RR Lyrae Stars,2001,"Buchler, J. Robert",2,23,2,2001ApJ...555..961B
Nonlinear Stochastic Biasing of Galaxies and Dark Halos in Cosmological Hydrodynamic Simulations,2001,"Yoshikawa, Kohji",4,104,59,2001ApJ...558..520Y
Constraints on Cosmological Parameters from Future Galaxy Cluster Surveys,2001,"Haiman, Zoltán",3,448,175,2001ApJ...553..545H
Are Magnetically Active Low-Mass M Dwarfs Completely Convective?,2001,"Mullan, D. J.",2,233,30,2001ApJ...559..353M
Merging Binary Clusters,2001,"Donnelly, R. Hank",7,53,17,2001ApJ...562..254D
X-Ray Synchrotron Emission from 10-100 TeV Cosmic-Ray Electrons in the Supernova Remnant SN 1006,2001,"Allen, G. E.",3,78,43,2001ApJ...558..739A
Radial and Transverse Velocities of Nearby Galaxies,2001,"Peebles, P. J. E.",4,67,16,2001ApJ...554..104P
The Planetary Nebula A39: An Observational Benchmark for Numerical Modeling of Photoionized Plasmas,2001,"Jacoby, George. H.",3,30,3,2001ApJ...560..272J
A Second Intense Burst with Photospheric Radius Expansion from X2127+119 in M15,2001,"Smale, Alan P.",1,24,11,2001ApJ...562..957S
Cluster Galaxy Evolution from a New Sample of Galaxy Clusters at 0.3 &lt; z &lt; 0.9,2001,"Nelson, Amy E.",4,22,15,2001ApJ...563..629N
Testing Comptonization Models Using BeppoSAX Observations of Seyfert 1 Galaxies,2001,"Petrucci, P. O.",10,144,18,2001ApJ...556..716P
"Preliminary Constraints on <SUP>12</SUP>C(α,γ)<SUP>16</SUP>O from White Dwarf Seismology",2001,"Metcalfe, T. S.",3,63,37,2001ApJ...557.1021M
Evolution and Nucleosynthesis of Zero-Metal Intermediate-Mass Stars,2001,"Chieffi, Alessandro",4,102,53,2001ApJ...554.1159C
Metric Radio Emission Associated with X-Ray Plasmoid Ejections,2001,"Kundu, M. R.",6,27,8,2001ApJ...559..443K
The Supernova Remnant G106.3+2.7 and Its Pulsar-Wind Nebula: Relics of Triggered Star Formation in a Complex Environment,2001,"Kothes, Roland",3,84,13,2001ApJ...560..236K
The Gaseous Extent of Galaxies and the Origin of Lyα Absorption Systems. V. Optical and Near-Infrared Photometry of Lyα-absorbing Galaxies at z&lt;1,2001,"Chen, Hsiao-Wen",4,133,42,2001ApJ...559..654C
Nucleosynthesis and Mixing on the Asymptotic Giant Branch. III. Predicted and Observed s-Process Abundances,2001,"Busso, Maurizio",5,420,122,2001ApJ...557..802B
Cusped Mass Models of Gravitational Lenses,2001,"Muñoz, J. A.",3,92,52,2001ApJ...558..657M
Evolution of Polarization for Radiation Crossing a Plasma Layer of Quasi-transverse Propagation and the Interpretation of Radioastronomical Measurements,2001,"Segre, S. E.",2,9,4,2001ApJ...554..408S
Is the Gas in Cooling Flows Multiphase?,2001,"Molendi, Silvano",2,163,91,2001ApJ...560..194M
Mutual Event Observations of Io's Sodium Corona,2001,"Burger, M. H.",9,11,0,2001ApJ...563.1063B
Polytropic Indices of Solar Flares,2001,"Garcia, Howard",1,8,0,2001ApJ...557..897G
Erratum: Ekman Layers and the Damping of Inertial r-Modes in a Spherical Shell: Application to Neutron Stars,2001,"Rieutord, Michel",1,8,4,2001ApJ...557..493R
Understanding the Radio Emission Geometry of PSR B0329+54,2001,"Gangadhara, R. T.",2,149,40,2001ApJ...555...31G
Phase-resolved Crab Studies with a Cryogenic Transition-Edge Sensor Spectrophotometer,2001,"Romani, Roger W.",5,50,20,2001ApJ...563..221R
Inter-Active Region Connection of Sympathetic Flaring on 2000 February 17,2001,"Wang, Haimin",6,68,17,2001ApJ...559.1171W
Star Formation History and Stellar Metallicity Distribution in a Cold Dark Matter Universe,2001,"Nagamine, Kentaro",4,74,51,2001ApJ...558..497N
A Search for Submillisecond Pulsars,2001,"Edwards, R. T.",3,21,9,2001ApJ...560..365E
Space Telescope Imaging Spectrograph Observations of Interstellar Oxygen and Krypton in Translucent Clouds,2001,"Cartledge, Stefan I. B.",4,65,36,2001ApJ...562..394C
Structure and Mass of a Young Globular Cluster in NGC 6946,2001,"Larsen, Søren S.",6,71,38,2001ApJ...556..801L
Neutral Atomic Carbon in Intermediate-Velocity Clouds,2001,"Heithausen, Andreas",4,8,3,2001ApJ...561..238H
On the Two Types of Steady Hard X-Ray States of GRS 1915+105,2001,"Trudolyubov, Sergey P.",1,44,17,2001ApJ...558..276T
Molecular Line Emissions from the Photodissociation Region of NGC 7027,2001,"Hasegawa, Tatsuhiko I.",2,40,15,2001ApJ...562..824H
Pair Production Multiplicities in Rotation-powered Pulsars,2001,"Hibschman, Johann A.",2,162,56,2001ApJ...560..871H
"Experimental Radiative Lifetimes, Branching Fractions, and Oscillator Strengths for La II and a New Determination of the Solar Lanthanum Abundance",2001,"Lawler, J. E.",3,318,75,2001ApJ...556..452L
Pulsar Polar Cap Heating and Surface Thermal X-Ray Emission. I. Curvature Radiation Pair Fronts,2001,"Harding, Alice K.",2,175,43,2001ApJ...556..987H
Radiative Hydromagnetic Shocks in Relativistic Outflow Sources,2001,"Granot, Jonathan",2,12,9,2001ApJ...560..145G
Spectral Distortion of Cosmic Microwave Background Radiation by Scattering on Hot Electrons: Exact Calculations,2001,"Dolgov, A. D.",4,54,31,2001ApJ...554...74D
Interpreting the Cosmic Infrared Background: Constraints on the Evolution of the Dust-enshrouded Star Formation Rate,2001,"Chary, R.",2,1040,171,2001ApJ...556..562C
Multiepoch Very Long Baseline Array Observations of EGRET-detected Quasars and BL Lacertae Objects: Connection between Superluminal Ejections and Gamma-Ray Flares in Blazars,2001,"Jorstad, Svetlana G.",7,212,49,2001ApJ...556..738J
Astrometry with the MACHO Data Archive. I. High Proper Motion Stars toward the Galactic Bulge and Magellanic Clouds,2001,"Alcock, C.",23,17,6,2001ApJ...562..337A
"An Ab Initio Investigation of Reactions of Carbon Atoms, C(<SUP>3</SUP>P<SUB>j</SUB>), with C<SUB>2</SUB>H<SUB>4</SUB> and C<SUB>3</SUB>H<SUB>6</SUB> in the Interstellar Medium",2001,"Kaiser, R. I.",4,20,3,2001ApJ...561..858K
The BeppoSAX 0.1-100 keV Spectrum of the X-Ray Pulsar 4U 1538-52,2001,"Robba, N. R.",5,41,9,2001ApJ...562..950R
On the Linearity of the Black Hole-Bulge Mass Relation in Active and in Nearby Galaxies,2001,"Laor, Ari",1,139,63,2001ApJ...553..677L
A New System of Parallel Isolated Nonthermal Filaments near the Galactic Center: Evidence for a Local Magnetic Field Gradient,2001,"LaRosa, T. N.",3,31,16,2001ApJ...563..163L
The Host Galaxy of GRB 980703 at Radio Wavelengths-a Nuclear Starburst in an Ultraluminous Infrared Galaxy,2001,"Berger, E.",3,90,57,2001ApJ...560..652B
On Local Approximations to the Nonlinear Evolution of Large-Scale Structure,2001,"Makler, Martín",3,2,0,2001ApJ...557...88M
DIRBE minus 2MASS: Confirming the Cosmic Infrared Background at 2.2 Microns,2001,"Wright, Edward L.",1,107,56,2001ApJ...553..538W
Origin and Evolution of Filament-Prominence Systems,2001,"Martens, Petrus C.",2,157,33,2001ApJ...558..872M
The Phase-Space Density Profiles of Cold Dark Matter Halos,2001,"Taylor, James E.",2,287,76,2001ApJ...563..483T
General Relativistic Effects in the Core Collapse Supernova Mechanism,2001,"Bruenn, S. W.",3,94,38,2001ApJ...560..326B
Infrared and Millimetric Study of the Young Outflow Cepheus E,2001,"Moro-Martín, Amaya",6,36,14,2001ApJ...555..146M
Near-Infrared Spectroscopy and Hubble Space Telescope Imaging of a Dusty Starburst Extremely Red Object,2001,"Smith, Graham P.",6,24,23,2001ApJ...562..635S
A Richness Study of 14 Distant X-Ray Clusters from the 160 Square Degree Survey,2001,"McNamara, B. R.",7,8,4,2001ApJ...558..590M
Spin-induced Galaxy Alignments and Their Implications for Weak-Lensing Measurements,2001,"Crittenden, Robert G.",4,272,71,2001ApJ...559..552C
Electron-Density-dependent Extreme-Ultraviolet Intensity Ratios from L-Shell Iron Ions in the Frascati Tokamak Upgrade,2001,"Fournier, K. B.",8,10,6,2001ApJ...561.1144F
Constraints on Thermal Emission Models of Anomalous X-Ray Pulsars,2001,"Özel, Feryal",3,45,37,2001ApJ...563..255O
The Wind-Wind Collision Region of the Wolf-Rayet Binary V444 Cygni: How Much Optical Line Emission Does It Produce?,2001,"Flores, Aaron",4,13,4,2001ApJ...563..341F
Evidence for the Flare Trigger Site and Three-Dimensional Reconnection in Multiwavelength Observations of a Solar Flare,2001,"Fletcher, L.",5,113,29,2001ApJ...554..451F
Mg II Absorber Number Density at z~=0.05: Implications for Ω<SUB>DLA</SUB> Evolution,2001,"Churchill, Christopher W.",1,25,19,2001ApJ...560...92C
Chandra X-Ray Sources in M101,2001,"Pence, W. D.",4,79,44,2001ApJ...561..189P
Photodetachment Spectrum of l-C<SUB>3</SUB>H<SUB>2</SUB>H<SUP>- </SUP><SUB>2</SUB>: The Role of Dipole Bound States for Electron Attachment in Interstellar Clouds,2001,"Güthe, Felix",4,39,8,2001ApJ...555..466G
Halo Cores and Phase-Space Densities: Observational Constraints on Dark Matter Physics and Structure Formation,2001,"Dalcanton, Julianne J.",2,230,66,2001ApJ...561...35D
Formation of Giant Planets in Dense Nebulae: Critical Core Mass Revisited,2001,"Ikoma, Masahiro",3,73,17,2001ApJ...553..999I
Hα Proxies for EIT Crinkles: Further Evidence for Preflare ``Breakout''-Type Activity in an Ejective Solar Eruption,2001,"Sterling, Alphonse C.",4,45,29,2001ApJ...561.1116S
"Jet Energy and Other Parameters for the Afterglows of GRB 980703, GRB 990123, GRB 990510, and GRB 991216 Determined from Modeling of Multifrequency Data",2001,"Panaitescu, A.",2,216,124,2001ApJ...554..667P
Chromospheric Damping of Alfvén Waves,2001,"De Pontieu, B.",3,166,36,2001ApJ...558..859D
Effect of Dust Extinction on Estimating the Star Formation Rate of Galaxies: Lyman Continuum Extinction,2001,"Inoue, Akio K.",3,71,20,2001ApJ...555..613I
Hubble Space Telescope Imagery and Canada-France-Hawaii Telescope Fabry-Perot Two-dimensional Spectroscopy in Hα of the Ejected Nebula M1-67: Turbulent Status,2001,"Grosdidier, Yves",5,22,5,2001ApJ...562..753G
Numerical Modeling of the Solar Tachocline. I. Freely Evolving Stratified Turbulence in a Thin Rotating Spherical Shell,2001,"Miesch, Mark S.",1,19,11,2001ApJ...562.1058M
Hubble Space Telescope Observations of the Gravitationally Lensed Cloverleaf Broad Absorption Line QSO H1413+1143: Imaging Polarimetry and Evidence for Microlensing of a Scattering Region,2001,"Chae, Kyu-Hyun",5,21,4,2001ApJ...561..653C
High-Latitude H I in NGC 2613: Structure and Dynamics,2001,"Chaves, Tara A.",2,23,7,2001ApJ...557..646C
First Detections of Molecular Gas Associated with the Wolf-Rayet Ring Nebula NGC 3199,2001,"Marston, A. P.",1,17,8,2001ApJ...563..875M
The Nebular Spectra of the Hypernova SN 1998bw and Evidence for Asymmetry,2001,"Mazzali, Paolo A.",4,170,49,2001ApJ...559.1047M
A Possible Solar Cycle Dependence to the Hemispheric Pattern of Filament Magnetic Fields?,2001,"Mackay, D. H.",2,54,16,2001ApJ...560..445M
Dust Migration and Morphology in Optically Thin Circumstellar Gas Disks,2001,"Takeuchi, Taku",2,172,51,2001ApJ...557..990T
"Protostellar Collapse in a Rotating, Self-gravitating Sheet",2001,"Boss, Alan P.",2,15,8,2001ApJ...562..842B
Observational Tests and Predictive Stellar Evolution,2001,"Young, P. A.",4,53,29,2001ApJ...556..230Y
The Constant-Velocity Highly Collimated Outflows of the Planetary Nebula He 2-90,2001,"Guerrero, Martín A.",5,25,16,2001ApJ...563..883G
Ultraluminous Infrared Galaxies: Mergers of Sub-L* Galaxies?,2001,"Colina, Luis",9,52,30,2001ApJ...563..546C
Direct Detection of Warm Dark Matter in the X-Ray,2001,"Abazajian, Kevork",3,308,54,2001ApJ...562..593A
The Solar Intensity-Velocity Cross Spectrum: A Powerful Diagnostic for Helioseismology,2001,"Severino, G.",5,35,12,2001ApJ...561..444S
Using Gravitational Lensing to Study H I Clouds at High Redshift,2001,"Saini, Tarun Deep",3,13,4,2001ApJ...557..421S
A Morphological Type Dependence in the μ<SUB>0</SUB>-log h Plane of Spiral Galaxy Disks,2001,"Graham, Alister W.",2,37,14,2001ApJ...556..177G
Angular Momentum Transfer in a Protolunar Disk,2001,"Takeda, Takaaki",2,61,12,2001ApJ...560..514T
A Comparison of Independent Star Formation Diagnostics for an Ultraviolet-selected Sample of Nearby Galaxies,2001,"Sullivan, Mark",7,123,58,2001ApJ...558...72S
The Sun as an X-Ray Star. III. Flares,2001,"Reale, F.",3,62,38,2001ApJ...557..906R
The Redshift-Space Two-Point Correlation Functions of Galaxies and Groups in the Nearby Optical Galaxy Sample,2001,"Giuricin, Giuliano",5,38,26,2001ApJ...554..857G
A Submillimeter Study of the Star-forming Region NGC 7129,2001,"Font, Andreea S.",3,21,16,2001ApJ...555..950F
